key,junshu,tenban_junshu_p,chiban_junshu_p,chokufu,chokushi,kuubou,tenban_kan,tenban_gon,tenban_shin,tenban_son,tenban_ri,tenban_kun,tenban_da,tenban_ken,chiban_kan,chiban_gon,chiban_shin,chiban_son,chiban_ri,chiban_kun,chiban_da,chiban_ken,kyusei_kan,kyusei_gon,kyusei_shin,kyusei_son,kyusei_ri,kyusei_kun,kyusei_da,kyusei_ken,hasshin_kan,hasshin_gon,hasshin_shin,hasshin_son,hasshin_ri,hasshin_kun,hasshin_da,hasshin_ken,hachimon_kan,hachimon_gon,hachimon_shin,hachimon_son,hachimon_ri,hachimon_kun,hachimon_da,hachimon_ken
陰1局壬寅,辛,壬,兌,天柱,驚門,辰巳,壬,戊,庚,丙,丁,己,乙癸,辛,戊,庚,丙,丁,己,乙癸,辛,壬,天心,天蓬,天任,天冲,天輔,天英,天芮,天柱,九天,九地,朱雀,勾陳,六合,太陰,螣蛇,直符,死門,驚門,開門,休門,生門,傷門,杜門,景門
陰1局癸卯,辛,坤,兌,天柱,驚門,辰巳,庚,丙,丁,己,乙癸,辛,壬,戊,戊,庚,丙,丁,己,乙癸,辛,壬,天任,天冲,天輔,天英,天芮,天柱,天心,天蓬,朱雀,勾陳,六合,太陰,螣蛇,直符,九天,九地,休門,生門,傷門,杜門,景門,死門,驚門,開門
陰1局甲辰,壬,壬,乾,天心,開門,寅卯,戊,庚,丙,丁,己,乙癸,辛,壬,戊,庚,丙,丁,己,乙癸,辛,壬,天蓬,天任,天冲,天輔,天英,天芮,天柱,天心,九天,九地,朱雀,勾陳,六合,太陰,螣蛇,直符,休門,生門,傷門,杜門,景門,死門,驚門,開門
陰1局乙巳,壬,坤,乾,天心,開門,寅卯,丙,丁,己,乙癸,辛,壬,戊,庚,戊,庚,丙,丁,己,乙癸,辛,壬,天冲,天輔,天英,天芮,天柱,天心,天蓬,天任,朱雀,勾陳,六合,太陰,螣蛇,直符,九天,九地,傷門,杜門,景門,死門,驚門,開門,休門,生門
陰1局丙午,壬,震,乾,天心,開門,寅卯,乙癸,辛,壬,戊,庚,丙,丁,己,戊,庚,丙,丁,己,乙癸,辛,壬,天芮,天柱,天心,天蓬,天任,天冲,天輔,天英,太陰,螣蛇,直符,九天,九地,朱雀,勾陳,六合,景門,死門,驚門,開門,休門,生門,傷門,杜門
陰1局丁未,壬,巽,乾,天心,開門,寅卯,己,乙癸,辛,壬,戊,庚,丙,丁,戊,庚,丙,丁,己,乙癸,辛,壬,天英,天芮,天柱,天心,天蓬,天任,天冲,天輔,六合,太陰,螣蛇,直符,九天,九地,朱雀,勾陳,死門,驚門,開門,休門,生門,傷門,杜門,景門
陰1局戊申,壬,坎,乾,天心,開門,寅卯,壬,戊,庚,丙,丁,己,乙癸,辛,戊,庚,丙,丁,己,乙癸,辛,壬,天心,天蓬,天任,天冲,天輔,天英,天芮,天柱,直符,九天,九地,朱雀,勾陳,六合,太陰,螣蛇,傷門,杜門,景門,死門,驚門,開門,休門,生門
陰1局己酉,壬,離,乾,天心,開門,寅卯,丁,己,乙癸,辛,壬,戊,庚,丙,戊,庚,丙,丁,己,乙癸,辛,壬,天輔,天英,天芮,天柱,天心,天蓬,天任,天冲,勾陳,六合,太陰,螣蛇,直符,九天,九地,朱雀,開門,休門,生門,傷門,杜門,景門,死門,驚門
陰1局庚戌,壬,艮,乾,天心,開門,寅卯,辛,壬,戊,庚,丙,丁,己,乙癸,戊,庚,丙,丁,己,乙癸,辛,壬,天柱,天心,天蓬,天任,天冲,天輔,天英,天芮,螣蛇,直符,九天,九地,朱雀,勾陳,六合,太陰,杜門,景門,死門,驚門,開門,休門,生門,傷門
陰1局辛亥,壬,兌,乾,天心,開門,寅卯,庚,丙,丁,己,乙癸,辛,壬,戊,戊,庚,丙,丁,己,乙癸,辛,壬,天任,天冲,天輔,天英,天芮,天柱,天心,天蓬,九地,朱雀,勾陳,六合,太陰,螣蛇,直符,九天,驚門,開門,休門,生門,傷門,杜門,景門,死門
陰1局壬子,壬,壬,乾,天心,開門,寅卯,戊,庚,丙,丁,己,乙癸,辛,壬,戊,庚,丙,丁,己,乙癸,辛,壬,天蓬,天任,天冲,天輔,天英,天芮,天柱,天心,九天,九地,朱雀,勾陳,六合,太陰,螣蛇,直符,生門,傷門,杜門,景門,死門,驚門,開門,休門
陰1局癸丑,壬,坤,乾,天心,開門,寅卯,丙,丁,己,乙癸,辛,壬,戊,庚,戊,庚,丙,丁,己,乙癸,辛,壬,天冲,天輔,天英,天芮,天柱,天心,天蓬,天任,朱雀,勾陳,六合,太陰,螣蛇,直符,九天,九地,休門,生門,傷門,杜門,景門,死門,驚門,開門
陰1局甲寅,癸,坤,坤,天芮,死門,子丑,戊,庚,丙,丁,己,乙癸,辛,壬,戊,庚,丙,丁,己,乙癸,辛,壬,天蓬,天任,天冲,天輔,天英,天芮,天柱,天心,朱雀,勾陳,六合,太陰,螣蛇,直符,九天,九地,休門,生門,傷門,杜門,景門,死門,驚門,開門
陰1局乙卯,癸,坤,坤,天芮,死門,子丑,戊,庚,丙,丁,己,乙癸,辛,壬,戊,庚,丙,丁,己,乙癸,辛,壬,天蓬,天任,天冲,天輔,天英,天芮,天柱,天心,朱雀,勾陳,六合,太陰,螣蛇,直符,九天,九地,傷門,杜門,景門,死門,驚門,開門,休門,生門
陰1局丙辰,癸,震,坤,天芮,死門,子丑,丁,己,乙癸,辛,壬,戊,庚,丙,戊,庚,丙,丁,己,乙癸,辛,壬,天輔,天英,天芮,天柱,天心,天蓬,天任,天冲,太陰,螣蛇,直符,九天,九地,朱雀,勾陳,六合,杜門,景門,死門,驚門,開門,休門,生門,傷門
陰1局丁巳,癸,巽,坤,天芮,死門,子丑,丙,丁,己,乙癸,辛,壬,戊,庚,戊,庚,丙,丁,己,乙癸,辛,壬,天冲,天輔,天英,天芮,天柱,天心,天蓬,天任,六合,太陰,螣蛇,直符,九天,九地,朱雀,勾陳,休門,生門,傷門,杜門,景門,死門,驚門,開門
