key,junshu,tenban_junshu_p,chiban_junshu_p,chokufu,chokushi,kuubou,tenban_kan,tenban_gon,tenban_shin,tenban_son,tenban_ri,tenban_kun,tenban_da,tenban_ken,chiban_kan,chiban_gon,chiban_shin,chiban_son,chiban_ri,chiban_kun,chiban_da,chiban_ken,kyusei_kan,kyusei_gon,kyusei_shin,kyusei_son,kyusei_ri,kyusei_kun,kyusei_da,kyusei_ken,hasshin_kan,hasshin_gon,hasshin_shin,hasshin_son,hasshin_ri,hasshin_kun,hasshin_da,hasshin_ken,hachimon_kan,hachimon_gon,hachimon_shin,hachimon_son,hachimon_ri,hachimon_kun,hachimon_da,hachimon_ken,jukkan_kokuou_kan,kakkyoku_kan,jukkan_kokuou_gon,kakkyoku_gon,jukkan_kokuou_shin,kakkyoku_shin,jukkan_kokuou_son,kakkyoku_son,jukkan_kokuou_ri,kakkyoku_ri,jukkan_kokuou_kun,kakkyoku_kun,jukkan_kokuou_da,kakkyoku_da,jukkan_kokuou_ken,kakkyoku_ken,ban_level
陽8局庚午,戊,坎,艮,天任,生門,戌亥,戊,壬,癸,己,辛丁,乙,丙,庚,庚,戊,壬,癸,己,辛丁,乙,丙,天任,天冲,天輔,天英,天芮,天柱,天心,天蓬,直符,螣蛇,太陰,六合,勾陳,朱雀,九地,九天,景門,死門,驚門,開門,休門,生門,傷門,杜門,×値符飛宮,×飛宮格,〇小蛇化龍,,×復見騰蛇,,×地刑玄武,,×入獄自刑;×火入勾陳,×六儀撃刑格,×青龍逃走;〇奇儀相佐,◯雲遁;×青龍逃走;×乙奇入墓,〇日月併用,,×太白入熒,,反吟;門迫
陽8局辛未,戊,坤,艮,天任,生門,戌亥,己,辛丁,乙,丙,庚,戊,壬,癸,庚,戊,壬,癸,己,辛丁,乙,丙,天英,天芮,天柱,天心,天蓬,天任,天冲,天輔,六合,勾陳,朱雀,九地,九天,直符,螣蛇,太陰,傷門,杜門,景門,死門,驚門,開門,休門,生門,×刑格返名,,×囚獄被傷;〇青龍転光,◯丁奇得使;×丁奇入墓,×日奇入地,◯乙奇昇殿,×華蓋孛師,,×官符刑格,×刑格,×青龍折足;〇青龍耀明,,△格名小蛇,,〇華蓋孛師,,反吟;門迫
陽8局壬申,戊,震,艮,天任,生門,戌亥,丙,庚,戊,壬,癸,己,辛丁,乙,庚,戊,壬,癸,己,辛丁,乙,丙,天心,天蓬,天任,天冲,天輔,天英,天芮,天柱,九地,九天,直符,螣蛇,太陰,六合,勾陳,朱雀,杜門,景門,死門,驚門,開門,休門,生門,傷門,×焚入太白,◯丙奇得使,×太白伏宮,×伏宮格;×六儀撃刑格,×龍入天牢,×六儀撃刑格,×幼女奸淫,×六儀撃刑格,×華蓋地戸,,×遊魂入墓;△朱雀入墓,×六儀撃刑格,×白虎猖狂;〇人遁吉格,◯丁奇昇殿;◯玉女守門;×白虎猖狂,〇奇儀順遂,◯乙奇得使,門迫
陽8局癸酉,戊,巽,艮,天任,生門,戌亥,乙,丙,庚,戊,壬,癸,己,辛丁,庚,戊,壬,癸,己,辛丁,乙,丙,天柱,天心,天蓬,天任,天冲,天輔,天英,天芮,朱雀,九地,九天,直符,螣蛇,太陰,六合,勾陳,休門,生門,傷門,杜門,景門,死門,驚門,開門,×日奇被刑,◯龍遁,〇飛鳥跌穴,,×金華水流,,△青龍華蓋,,×凶蛇入獄,,×網蓋天牢;×螣蛇妖矯,×螣蛇妖矯,△地戸蓬星,,×干合孛師;△星髄月転,,
陽8局甲戌,己,離,離,天英,景門,申酉,庚,戊,壬,癸,己,辛丁,乙,丙,庚,戊,壬,癸,己,辛丁,乙,丙,天蓬,天任,天冲,天輔,天英,天芮,天柱,天心,勾陳,朱雀,九地,九天,直符,螣蛇,太陰,六合,休門,生門,傷門,杜門,景門,死門,驚門,開門,×太白同宮,,×伏吟,,×蛇入地羅,,×天網四張,×六儀撃刑格,×地戸蓬鬼,,×伏吟天庭;〇獄神得奇;×朱雀入獄;〇奇入太陰,,△日奇伏吟,,×月奇孛師,×丙奇入墓,伏吟
陽8局乙亥,己,兌,離,天英,景門,申酉,乙,丙,庚,戊,壬,癸,己,辛丁,庚,戊,壬,癸,己,辛丁,乙,丙,天柱,天心,天蓬,天任,天冲,天輔,天英,天芮,太陰,六合,勾陳,朱雀,九地,九天,直符,螣蛇,景門,死門,驚門,開門,休門,生門,傷門,杜門,×日奇被刑,,〇飛鳥跌穴,,×金華水流,,△青龍華蓋,,×凶蛇入獄,,×網蓋天牢;×螣蛇妖矯,×螣蛇妖矯,△地戸蓬星,,×干合孛師;△星髄月転,,反吟;門迫
陽8局丙子,己,壬,離,天英,景門,申酉,辛丁,乙,丙,庚,戊,壬,癸,己,庚,戊,壬,癸,己,辛丁,乙,丙,天芮,天柱,天心,天蓬,天任,天冲,天輔,天英,螣蛇,太陰,六合,勾陳,朱雀,九地,九天,直符,開門,休門,生門,傷門,杜門,景門,死門,驚門,×白虎出力;△朱雀入没,,×利陰害陽,,×火入天羅,,×反吟大格,,×貴人入獄,,×騰蛇相纏;△干合蛇刑,,△華蓋蓬星,,×火孛地戸,,
陽8局丁丑,己,坤,離,天英,景門,申酉,丙,庚,戊,壬,癸,己,辛丁,乙,庚,戊,壬,癸,己,辛丁,乙,丙,天心,天蓬,天任,天冲,天輔,天英,天芮,天柱,六合,勾陳,朱雀,九地,九天,直符,螣蛇,太陰,傷門,杜門,景門,死門,驚門,開門,休門,生門,×焚入太白,◯丙奇得使,×太白伏宮,×六儀撃刑格,×龍入天牢,×六儀撃刑格,×幼女奸淫,×六儀撃刑格,×華蓋地戸,,×遊魂入墓;△朱雀入墓,×六儀撃刑格,×白虎猖狂;〇人遁吉格,◯丁奇昇殿;×白虎猖狂,〇奇儀順遂,◯乙奇得使,門迫
陽8局戊寅,己,艮,離,天英,景門,申酉,癸,己,辛丁,乙,丙,庚,戊,壬,庚,戊,壬,癸,己,辛丁,乙,丙,天輔,天英,天芮,天柱,天心,天蓬,天任,天冲,九天,直符,螣蛇,太陰,六合,勾陳,朱雀,九地,生門,傷門,杜門,景門,死門,驚門,開門,休門,×太白入網,,△犬遇青龍,,×凶蛇入獄;〇五神互合,,△華蓋蓬星,,△太孛入刑,◯丙奇昇殿,×白虎干格;△丁丁之格,,△青龍合霊,,×水蛇入火,,門迫
陽8局己卯,己,離,離,天英,景門,申酉,庚,戊,壬,癸,己,辛丁,乙,丙,庚,戊,壬,癸,己,辛丁,乙,丙,天蓬,天任,天冲,天輔,天英,天芮,天柱,天心,勾陳,朱雀,九地,九天,直符,螣蛇,太陰,六合,開門,休門,生門,傷門,杜門,景門,死門,驚門,×太白同宮,,×伏吟,,×蛇入地羅,,×天網四張,×六儀撃刑格,×地戸蓬鬼,,×伏吟天庭;〇獄神得奇;×朱雀入獄;〇奇入太陰,◯玉女守門,△日奇伏吟,,×月奇孛師,×丙奇入墓,伏吟
